trade_date,td_year,td_month,td_day,td_weekday,td_week_number,td_year_week,open,high,low,close,volume,adj_close,return,short_ma,long_ma,label
2014-05-15,2014,5,15,Thursday,19,2014-19,448.1,455.15,441.86,453.63,799913,453.63,0.012340995313546044,440.89214285714286,457.8675999999998,
2014-05-16,2014,5,16,Friday,19,2014-19,453.63,455.94,452.23,452.79,776390,452.79,-0.0018517293829772852,441.90214285714285,457.2711999999998,
2014-05-17,2014,5,17,Saturday,19,2014-19,452.79,454.0,449.04,450.14,653912,450.14,-0.00585260275182764,442.90857142857146,456.7317999999998,
2014-05-18,2014,5,18,Sunday,20,2014-20,450.14,451.69,441.2,443.9,602742,443.9,-0.01386235393433155,443.8392857142857,456.67139999999984,
2014-05-19,2014,5,19,Monday,20,2014-20,443.9,486.23,437.25,484.57,883359,484.57,0.09161973417436364,447.5807142857143,457.46959999999984,
2014-05-20,2014,5,20,Tuesday,20,2014-20,484.57,495.21,481.73,488.84,689104,488.84,0.00881193635594446,450.6014285714286,457.9773999999998,
2014-05-21,2014,5,21,Wednesday,20,2014-20,488.84,519.25,485.55,515.36,1589075,515.36,0.054250879633418014,455.90500000000003,459.79719999999986,
2014-05-22,2014,5,22,Thursday,20,2014-20,515.36,540.88,515.18,518.09,1457339,518.09,0.0052972679292144775,461.09357142857147,461.4327999999998,
2014-05-23,2014,5,23,Friday,20,2014-20,518.09,526.65,510.42,520.46,1492790,520.46,0.004574494778899485,465.9907142857143,462.9547999999998,
2014-05-24,2014,5,24,Saturday,20,2014-20,520.46,575.19,520.53,570.44,1037758,570.44,0.09603043461553251,475.7914285714287,465.23099999999977,
2014-05-25,2014,5,25,Sunday,21,2014-21,570.44,586.41,564.65,582.01,1712997,582.01,0.02028258887876011,486.0628571428573,467.75739999999973,
2014-05-26,2014,5,26,Monday,21,2014-21,582.01,586.22,555.28,570.1,1947436,570.1,-0.02046356591811127,495.79000000000013,469.9117999999997,
2014-05-27,2014,5,27,Tuesday,21,2014-21,570.1,581.81,562.56,570.84,2054559,570.84,0.0012980178915980023,504.9478571428573,471.9973999999997,
2014-05-28,2014,5,28,Wednesday,21,2014-21,570.84,573.83,557.7,564.42,2121556,564.42,-0.011246583981501024,513.2564285714287,474.13899999999967,
2014-05-29,2014,5,29,Thursday,21,2014-21,564.42,613.26,564.02,612.35,3688564,612.35,0.08491903192657957,524.5935714285716,478.6933999999996,
2014-05-30,2014,5,30,Friday,21,2014-21,612.35,629.04,604.73,627.91,2738340,627.91,0.02541030456438298,537.102142857143,482.54879999999963,
2014-05-31,2014,5,31,Saturday,21,2014-21,627.91,674.98,621.95,649.79,2322782,649.79,0.03484575815005342,551.3628571428573,486.7915999999996,
2014-06-01,2014,6,1,Sunday,22,2014-22,649.79,662.63,625.46,655.49,2650871,655.49,0.008772064820942171,566.4764285714288,491.34939999999966,
2014-06-02,2014,6,2,Monday,22,2014-22,655.49,676.47,631.42,669.43,2883100,669.43,0.02126653343300422,579.6807142857144,495.17039999999963,
2014-06-03,2014,6,3,Tuesday,22,2014-22,669.43,669.78,602.1,638.93,3601867,638.93,-0.04556114903724062,590.4014285714287,497.42039999999963,
2014-06-04,2014,6,4,Wednesday,22,2014-22,638.93,665.39,635.59,660.18,1825395,660.18,0.033258729438279566,600.7457142857145,499.88499999999965,
2014-06-05,2014,6,5,Thursday,22,2014-22,660.18,663.84,647.12,650.41,3978265,650.41,-0.014798994213699235,610.197142857143,502.8531999999996,
2014-06-06,2014,6,6,Friday,22,2014-22,650.41,659.77,641.02,651.67,1298892,651.67,0.0019372395873371584,619.5692857142858,506.1761999999996,
2014-06-07,2014,6,7,Saturday,22,2014-22,651.67,658.88,648.67,651.05,2167689,651.05,-0.0009514017831110388,625.3271428571428,509.0767999999996,
2014-06-08,2014,6,8,Sunday,23,2014-23,651.05,652.12,639.08,644.35,2126014,644.35,-0.01029106827432602,629.78,511.99359999999956,
2014-06-09,2014,6,9,Monday,23,2014-23,644.35,661.44,641.68,655.62,2340867,655.62,0.017490494296577896,635.8885714285715,515.2027999999996,
2014-06-10,2014,6,10,Tuesday,23,2014-23,655.62,663.04,642.28,642.95,2491455,642.95,-0.019325218876788286,641.0392857142858,518.3035999999996,
2014-06-11,2014,6,11,Wednesday,23,2014-23,642.95,643.8,591.12,597.13,2928622,597.13,-0.07126526168442349,643.3757142857143,520.5001999999996,
2014-06-12,2014,6,12,Thursday,23,2014-23,597.13,619.14,594.87,610.35,4612164,610.35,0.022139232662904185,643.2328571428571,522.7013999999996,
2014-06-13,2014,6,13,Friday,23,2014-23,610.35,613.77,563.68,583.42,2985483,583.42,-0.04412222495289597,640.0550000000001,525.0799999999995,
2014-06-14,2014,6,14,Saturday,23,2014-23,583.42,587.83,560.85,582.29,2272289,582.29,-0.001936855095814316,635.2335714285715,527.5683999999995,
2014-06-15,2014,6,15,Sunday,24,2014-24,582.29,606.14,580.45,599.08,2403694,599.08,0.0288344295797629,631.2042857142858,530.6863999999996,
2014-06-16,2014,6,16,Monday,24,2014-24,599.08,608.43,594.86,605.09,1820590,605.09,0.01003204914201783,626.6085714285715,533.9497999999996,
2014-06-17,2014,6,17,Tuesday,24,2014-24,605.09,614.4,603.61,606.21,2037434,606.21,0.0018509643193573844,624.2714285714285,537.1515999999996,
2014-06-18,2014,6,18,Wednesday,24,2014-24,606.21,612.58,598.67,600.17,3433287,600.17,-0.00996354398640753,619.9849999999999,540.2423999999995,
2014-06-19,2014,6,19,Thursday,24,2014-24,600.17,602.05,587.1,590.75,1312852,590.75,-0.015695552926670686,615.7235714285714,542.8547999999995,
2014-06-20,2014,6,20,Friday,24,2014-24,590.75,599.21,584.82,597.04,1373722,597.04,0.010647482014388476,611.8214285714284,545.7221999999996,
2014-06-21,2014,6,21,Saturday,24,2014-24,597.04,610.08,591.99,603.62,1240859,603.62,0.011021037116441201,608.4335714285714,549.0215999999996,
2014-06-22,2014,6,22,Sunday,25,2014-25,603.62,604.65,582.86,591.17,1594834,591.17,-0.02062555912660291,604.635,552.1239999999995,
2014-06-23,2014,6,23,Monday,25,2014-25,591.17,595.65,585.41,588.77,1840620,588.77,-0.004059745927567304,599.8599999999999,555.2819999999996,
2014-06-24,2014,6,24,Tuesday,25,2014-25,588.77,589.56,566.88,568.45,1797681,568.45,-0.034512628021128644,594.5385714285713,558.0071999999996,
2014-06-25,2014,6,25,Wednesday,25,2014-25,568.45,582.71,565.85,582.7,2401035,582.7,0.025068167824786602,593.5078571428572,560.7301999999996,
2014-06-26,2014,6,26,Thursday,25,2014-25,582.7,603.94,580.14,602.23,2015064,602.23,0.033516389222584486,592.9278571428571,563.9525999999996,
2014-06-27,2014,6,27,Friday,25,2014-25,602.23,608.76,593.97,597.56,1778752,597.56,-0.007754512395596436,593.9378571428571,566.9947999999996,
2014-06-28,2014,6,28,Saturday,25,2014-25,597.56,604.28,593.19,601.06,1736172,601.06,0.00585715241984075,595.2785714285712,569.9779999999996,
